

617560 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@441a5b80
632728 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
632772 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
632799 + Lcom/fsck/k9/activity/MessageList; onPause
632799 - Lcom/fsck/k9/activity/MessageList; onPause
632817 + Lcom/fsck/k9/activity/FolderList; onCreate
632818 + Lcom/fsck/k9/K9ListActivity; onCreate
632822 - Lcom/fsck/k9/K9ListActivity; onCreate
632854 - Lcom/fsck/k9/activity/FolderList; onCreate
632855 + Lcom/fsck/k9/activity/FolderList; onResume
632856 + Lcom/fsck/k9/K9ListActivity; onResume
632861 - Lcom/fsck/k9/K9ListActivity; onResume
632910 - Lcom/fsck/k9/activity/FolderList; onResume
634196 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@440acef0
634219 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
634224 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
634226 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
634226 + Lcom/fsck/k9/activity/FolderList; onPause
634227 - Lcom/fsck/k9/activity/FolderList; onPause
634239 + Lcom/fsck/k9/activity/MessageList; onCreate
634240 + Lcom/fsck/k9/K9Activity; onCreate
634244 - Lcom/fsck/k9/K9Activity; onCreate
634284 - Lcom/fsck/k9/activity/MessageList; onCreate
634285 + Lcom/fsck/k9/activity/MessageList; onResume
634286 + Lcom/fsck/k9/K9Activity; onResume
634289 - Lcom/fsck/k9/K9Activity; onResume
634553 - Lcom/fsck/k9/activity/MessageList; onResume
635631 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@441a8cf8
635649 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
636743 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
636744 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
642779 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder settings
642824 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
642825 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
642827 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
642830 + Lcom/fsck/k9/activity/MessageList; onPause
642831 - Lcom/fsck/k9/activity/MessageList; onPause
642850 + Lcom/fsck/k9/activity/setup/FolderSettings; onCreate
642851 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
642858 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
642889 - Lcom/fsck/k9/activity/setup/FolderSettings; onCreate
642890 + Lcom/fsck/k9/activity/setup/FolderSettings; onResume
642891 - Lcom/fsck/k9/activity/setup/FolderSettings; onResume
643971 + Lcom/fsck/k9/service/MailService; onCreate
643972 - Lcom/fsck/k9/service/MailService; onCreate
643994 + Lcom/fsck/k9/activity/MessageList; onResume
643994 + Lcom/fsck/k9/K9Activity; onResume
643998 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
644361 - Lcom/fsck/k9/activity/MessageList; onResume
644449 + Lcom/fsck/k9/service/MailService; onDestroy
644450 - Lcom/fsck/k9/service/MailService; onDestroy
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
645762 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
645782 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
646060 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
646061 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
646061 + Lcom/fsck/k9/activity/MessageList; onPause
646061 - Lcom/fsck/k9/activity/MessageList; onPause
646132 + Lcom/fsck/k9/activity/MessageCompose; onCreate
646132 + Lcom/fsck/k9/K9Activity; onCreate
646134 - Lcom/fsck/k9/K9Activity; onCreate
646319 - Lcom/fsck/k9/activity/MessageCompose; onCreate
646319 + Lcom/fsck/k9/activity/MessageCompose; onResume
646320 + Lcom/fsck/k9/K9Activity; onResume
646324 - Lcom/fsck/k9/K9Activity; onResume
646325 - Lcom/fsck/k9/activity/MessageCompose; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
648104 + Lcom/fsck/k9/activity/MessageCompose; onPause
648105 - Lcom/fsck/k9/activity/MessageCompose; onPause
648134 + Lcom/fsck/k9/activity/MessageList; onResume
648136 + Lcom/fsck/k9/K9Activity; onResume
648138 - Lcom/fsck/k9/K9Activity; onResume
648314 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
650105 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
650106 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
653387 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Subject
653432 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
655421 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
655423 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
656667 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Select all
656668 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
657915 + Lcom/fsck/k9/activity/MessageList; onClick android.widget.Button@441b91c8
657917 - Lcom/fsck/k9/activity/MessageList; onClick
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
663138 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
663224 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
663251 + Lcom/fsck/k9/activity/MessageList; onPause
663251 - Lcom/fsck/k9/activity/MessageList; onPause
663272 + Lcom/fsck/k9/activity/FolderList; onCreate
663274 + Lcom/fsck/k9/K9ListActivity; onCreate
663276 - Lcom/fsck/k9/K9ListActivity; onCreate
663315 - Lcom/fsck/k9/activity/FolderList; onCreate
663320 + Lcom/fsck/k9/activity/FolderList; onResume
663320 + Lcom/fsck/k9/K9ListActivity; onResume
663322 - Lcom/fsck/k9/K9ListActivity; onResume
663372 - Lcom/fsck/k9/activity/FolderList; onResume
664936 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@44066f28
664971 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
664971 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
664972 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
664972 + Lcom/fsck/k9/activity/FolderList; onPause
664973 - Lcom/fsck/k9/activity/FolderList; onPause
664990 + Lcom/fsck/k9/activity/MessageList; onCreate
664991 + Lcom/fsck/k9/K9Activity; onCreate
664993 - Lcom/fsck/k9/K9Activity; onCreate
665019 - Lcom/fsck/k9/activity/MessageList; onCreate
665020 + Lcom/fsck/k9/activity/MessageList; onResume
665020 + Lcom/fsck/k9/K9Activity; onResume
665023 - Lcom/fsck/k9/K9Activity; onResume
665298 - Lcom/fsck/k9/activity/MessageList; onResume
666239 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@4411deb0
666281 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
667496 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
667500 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
671171 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
671191 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
671192 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
671194 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
671194 + Lcom/fsck/k9/activity/MessageList; onPause
671198 - Lcom/fsck/k9/activity/MessageList; onPause
671217 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
671219 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
671231 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
671378 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
671379 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
671387 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
673471 + Lcom/fsck/k9/service/MailService; onCreate
673472 - Lcom/fsck/k9/service/MailService; onCreate
673489 + Lcom/fsck/k9/activity/MessageList; onResume
673491 + Lcom/fsck/k9/K9Activity; onResume
673493 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
673789 - Lcom/fsck/k9/activity/MessageList; onResume
673833 + Lcom/fsck/k9/service/MailService; onDestroy
673833 - Lcom/fsck/k9/service/MailService; onDestroy
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
681322 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
681478 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
681520 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
681521 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
681522 + Lcom/fsck/k9/activity/MessageList; onPause
681523 - Lcom/fsck/k9/activity/MessageList; onPause
681545 + Lcom/fsck/k9/activity/MessageCompose; onCreate
681546 + Lcom/fsck/k9/K9Activity; onCreate
681552 - Lcom/fsck/k9/K9Activity; onCreate
681708 - Lcom/fsck/k9/activity/MessageCompose; onCreate
681709 + Lcom/fsck/k9/activity/MessageCompose; onResume
681709 + Lcom/fsck/k9/K9Activity; onResume
681714 - Lcom/fsck/k9/K9Activity; onResume
681715 - Lcom/fsck/k9/activity/MessageCompose; onResume
683995 + Lcom/fsck/k9/activity/MessageCompose; onPause
683997 - Lcom/fsck/k9/activity/MessageCompose; onPause
684023 + Lcom/fsck/k9/activity/MessageList; onResume
684023 + Lcom/fsck/k9/K9Activity; onResume
684027 - Lcom/fsck/k9/K9Activity; onResume
684267 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
686852 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
686853 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
690478 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Date
690496 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
693123 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
693124 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
694227 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Select all
694228 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
695385 + Lcom/fsck/k9/activity/MessageList; onClick android.widget.Button@44184b28
695387 - Lcom/fsck/k9/activity/MessageList; onClick
Ljava/net/Socket;->connectV
697423 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
697454 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
697472 + Lcom/fsck/k9/activity/MessageList; onPause
697473 - Lcom/fsck/k9/activity/MessageList; onPause
697486 + Lcom/fsck/k9/activity/FolderList; onCreate
697486 + Lcom/fsck/k9/K9ListActivity; onCreate
697489 - Lcom/fsck/k9/K9ListActivity; onCreate
697516 - Lcom/fsck/k9/activity/FolderList; onCreate
697517 + Lcom/fsck/k9/activity/FolderList; onResume
697517 + Lcom/fsck/k9/K9ListActivity; onResume
697519 - Lcom/fsck/k9/K9ListActivity; onResume
697550 - Lcom/fsck/k9/activity/FolderList; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
701666 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@441dd4f8
701761 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
701765 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
701766 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
701767 + Lcom/fsck/k9/activity/FolderList; onPause
701768 - Lcom/fsck/k9/activity/FolderList; onPause
701782 + Lcom/fsck/k9/activity/MessageList; onCreate
701782 + Lcom/fsck/k9/K9Activity; onCreate
701785 - Lcom/fsck/k9/K9Activity; onCreate
701811 - Lcom/fsck/k9/activity/MessageList; onCreate
701812 + Lcom/fsck/k9/activity/MessageList; onResume
701812 + Lcom/fsck/k9/K9Activity; onResume
701814 - Lcom/fsck/k9/K9Activity; onResume
701908 - Lcom/fsck/k9/activity/MessageList; onResume
702879 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@4431e6e8
702909 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
703984 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
703987 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
709997 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder settings
710036 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
710048 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
710049 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
710050 + Lcom/fsck/k9/activity/MessageList; onPause
710051 - Lcom/fsck/k9/activity/MessageList; onPause
710093 + Lcom/fsck/k9/activity/setup/FolderSettings; onCreate
710096 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
710120 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
710150 - Lcom/fsck/k9/activity/setup/FolderSettings; onCreate
710155 + Lcom/fsck/k9/activity/setup/FolderSettings; onResume
710156 - Lcom/fsck/k9/activity/setup/FolderSettings; onResume
711708 + Lcom/fsck/k9/service/MailService; onCreate
711708 - Lcom/fsck/k9/service/MailService; onCreate
Ljava/net/Socket;->closeV
711834 + Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
711845 + Lcom/fsck/k9/K9Activity; onResume
711847 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
712039 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->connectV
712262 + Lcom/fsck/k9/service/MailService; onDestroy
712263 - Lcom/fsck/k9/service/MailService; onDestroy
Ljava/net/Socket;->connectV
713849 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
713905 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
713918 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
713919 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
713920 + Lcom/fsck/k9/activity/MessageList; onPause
713921 - Lcom/fsck/k9/activity/MessageList; onPause
714005 + Lcom/fsck/k9/activity/MessageCompose; onCreate
714007 + Lcom/fsck/k9/K9Activity; onCreate
714011 - Lcom/fsck/k9/K9Activity; onCreate
714058 - Lcom/fsck/k9/activity/MessageCompose; onCreate
714059 + Lcom/fsck/k9/activity/MessageCompose; onResume
714059 + Lcom/fsck/k9/K9Activity; onResume
714062 - Lcom/fsck/k9/K9Activity; onResume
714063 - Lcom/fsck/k9/activity/MessageCompose; onResume
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
716127 + Lcom/fsck/k9/activity/MessageCompose; onPause
716127 - Lcom/fsck/k9/activity/MessageCompose; onPause
716155 + Lcom/fsck/k9/activity/MessageList; onResume
716156 + Lcom/fsck/k9/K9Activity; onResume
716162 - Lcom/fsck/k9/K9Activity; onResume
716300 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
717984 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
717985 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
720511 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Date
720533 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
722611 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
722612 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
723710 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Select all
723712 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
725018 + Lcom/fsck/k9/activity/MessageList; onClick android.widget.Button@442f7db0
725023 - Lcom/fsck/k9/activity/MessageList; onClick
726694 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
726714 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
726735 + Lcom/fsck/k9/activity/MessageList; onPause
726735 - Lcom/fsck/k9/activity/MessageList; onPause
726750 + Lcom/fsck/k9/activity/FolderList; onCreate
726750 + Lcom/fsck/k9/K9ListActivity; onCreate
726752 - Lcom/fsck/k9/K9ListActivity; onCreate
726841 - Lcom/fsck/k9/activity/FolderList; onCreate
726842 + Lcom/fsck/k9/activity/FolderList; onResume
726842 + Lcom/fsck/k9/K9ListActivity; onResume
726844 - Lcom/fsck/k9/K9ListActivity; onResume
726875 - Lcom/fsck/k9/activity/FolderList; onResume
728158 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@44185b08
728166 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
728176 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
728177 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
728179 + Lcom/fsck/k9/activity/FolderList; onPause
728181 - Lcom/fsck/k9/activity/FolderList; onPause
728199 + Lcom/fsck/k9/activity/MessageList; onCreate
728200 + Lcom/fsck/k9/K9Activity; onCreate
728202 - Lcom/fsck/k9/K9Activity; onCreate
728228 - Lcom/fsck/k9/activity/MessageList; onCreate
728228 + Lcom/fsck/k9/activity/MessageList; onResume
728229 + Lcom/fsck/k9/K9Activity; onResume
728231 - Lcom/fsck/k9/K9Activity; onResume
728318 - Lcom/fsck/k9/activity/MessageList; onResume
729107 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@441f6cd8
729139 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
730010 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
730013 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
736820 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
736873 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
736883 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
736884 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
736885 + Lcom/fsck/k9/activity/MessageList; onPause
736885 - Lcom/fsck/k9/activity/MessageList; onPause
736897 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
736897 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
736905 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
737001 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
737002 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
737006 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
738257 + Lcom/fsck/k9/service/MailService; onCreate
738258 - Lcom/fsck/k9/service/MailService; onCreate
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
738330 + Lcom/fsck/k9/activity/MessageList; onResume
738335 + Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
738348 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
738753 - Lcom/fsck/k9/activity/MessageList; onResume
738911 + Lcom/fsck/k9/service/MailService; onDestroy
738912 - Lcom/fsck/k9/service/MailService; onDestroy
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
740971 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@44276ba8
740998 - Lcom/fsck/k9/activity/MessageList; onItemClick
740998 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
740999 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
741000 + Lcom/fsck/k9/activity/MessageList; onPause
741001 - Lcom/fsck/k9/activity/MessageList; onPause
741016 + Lcom/fsck/k9/activity/MessageView; onCreate
741017 + Lcom/fsck/k9/K9Activity; onCreate
741019 - Lcom/fsck/k9/K9Activity; onCreate
741178 - Lcom/fsck/k9/activity/MessageView; onCreate
741178 + Lcom/fsck/k9/activity/MessageView; onResume
741179 + Lcom/fsck/k9/K9Activity; onResume
741245 - Lcom/fsck/k9/K9Activity; onResume
741245 - Lcom/fsck/k9/activity/MessageView; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
742720 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@4416e088
742729 - Lcom/fsck/k9/activity/MessageView; onClick
Ljava/net/Socket;->connectV
744246 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@44186370
744263 - Lcom/fsck/k9/activity/MessageView; onClick
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
745582 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@4416e088
745590 - Lcom/fsck/k9/activity/MessageView; onClick
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
746805 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@4416e088
746807 - Lcom/fsck/k9/activity/MessageView; onClick
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
748819 + Lcom/fsck/k9/activity/MessageList; onResume
748819 + Lcom/fsck/k9/K9Activity; onResume
748822 - Lcom/fsck/k9/K9Activity; onResume
748987 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
