

10610141 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@441d89c8
10660278 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@43fa1d00
10660285 - Lcom/fsck/k9/activity/MessageView; onClick
10663043 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@43fa1d00
10663048 - Lcom/fsck/k9/activity/MessageView; onClick
10665005 + Lcom/fsck/k9/activity/MessageList; onResume
10665005 + Lcom/fsck/k9/K9Activity; onResume
10665006 - Lcom/fsck/k9/K9Activity; onResume
10665101 - Lcom/fsck/k9/activity/MessageList; onResume
10665876 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@44304390
10665888 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
10667147 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
10667147 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
10674868 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
10674960 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
10674962 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10674963 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10674965 + Lcom/fsck/k9/activity/MessageList; onPause
10674966 - Lcom/fsck/k9/activity/MessageList; onPause
10674979 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
10674980 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
10674991 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
10675084 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
10675085 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
10675090 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
10678013 + Lcom/fsck/k9/service/MailService; onCreate
10678014 - Lcom/fsck/k9/service/MailService; onCreate
10678281 + Lcom/fsck/k9/service/MailService; onDestroy
10678282 - Lcom/fsck/k9/service/MailService; onDestroy
10681644 + Lcom/fsck/k9/service/MailService; onCreate
10681645 - Lcom/fsck/k9/service/MailService; onCreate
10681676 + Lcom/fsck/k9/activity/MessageList; onResume
10681677 + Lcom/fsck/k9/K9Activity; onResume
10681680 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
10682098 - Lcom/fsck/k9/activity/MessageList; onResume
10682191 + Lcom/fsck/k9/service/MailService; onDestroy
10682192 - Lcom/fsck/k9/service/MailService; onDestroy
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
10687220 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
10687224 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->closeV
10689795 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@440d4d68
10689809 - Lcom/fsck/k9/activity/MessageList; onItemClick
10689810 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10689813 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10689813 + Lcom/fsck/k9/activity/MessageList; onPause
10689814 - Lcom/fsck/k9/activity/MessageList; onPause
10689824 + Lcom/fsck/k9/activity/MessageView; onCreate
10689825 + Lcom/fsck/k9/K9Activity; onCreate
10689827 - Lcom/fsck/k9/K9Activity; onCreate
10689952 - Lcom/fsck/k9/activity/MessageView; onCreate
10689953 + Lcom/fsck/k9/activity/MessageView; onResume
10689953 + Lcom/fsck/k9/K9Activity; onResume
10689955 - Lcom/fsck/k9/K9Activity; onResume
10689960 - Lcom/fsck/k9/activity/MessageView; onResume
Ljava/net/Socket;->connectV
10692480 + Lcom/fsck/k9/activity/MessageList; onResume
10692481 + Lcom/fsck/k9/K9Activity; onResume
10692483 - Lcom/fsck/k9/K9Activity; onResume
10692766 - Lcom/fsck/k9/activity/MessageList; onResume
10703392 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@440d4d68
10703424 - Lcom/fsck/k9/activity/MessageList; onItemClick
10703425 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10703441 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10703441 + Lcom/fsck/k9/activity/MessageList; onPause
10703443 - Lcom/fsck/k9/activity/MessageList; onPause
10703457 + Lcom/fsck/k9/activity/MessageView; onCreate
10703458 + Lcom/fsck/k9/K9Activity; onCreate
10703462 - Lcom/fsck/k9/K9Activity; onCreate
10703613 - Lcom/fsck/k9/activity/MessageView; onCreate
10703614 + Lcom/fsck/k9/activity/MessageView; onResume
10703615 + Lcom/fsck/k9/K9Activity; onResume
10703616 - Lcom/fsck/k9/K9Activity; onResume
10703622 - Lcom/fsck/k9/activity/MessageView; onResume
10706151 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@442ce678
10706161 - Lcom/fsck/k9/activity/MessageView; onClick
10707885 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@44224e50
10707889 - Lcom/fsck/k9/activity/MessageView; onClick
10709471 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@4419b858
10709487 - Lcom/fsck/k9/activity/MessageView; onClick
10710563 + Lcom/fsck/k9/activity/MessageList; onResume
10710564 + Lcom/fsck/k9/K9Activity; onResume
10710570 - Lcom/fsck/k9/K9Activity; onResume
10710706 - Lcom/fsck/k9/activity/MessageList; onResume
10713435 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
10713475 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
10713511 + Lcom/fsck/k9/activity/MessageList; onPause
10713512 - Lcom/fsck/k9/activity/MessageList; onPause
10713528 + Lcom/fsck/k9/activity/FolderList; onCreate
10713528 + Lcom/fsck/k9/K9ListActivity; onCreate
10713535 - Lcom/fsck/k9/K9ListActivity; onCreate
10713578 - Lcom/fsck/k9/activity/FolderList; onCreate
10713579 + Lcom/fsck/k9/activity/FolderList; onResume
10713579 + Lcom/fsck/k9/K9ListActivity; onResume
10713582 - Lcom/fsck/k9/K9ListActivity; onResume
10713654 - Lcom/fsck/k9/activity/FolderList; onResume
10715854 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@440081d8
10715892 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
10715893 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
10715894 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
10715894 + Lcom/fsck/k9/activity/FolderList; onPause
10715895 - Lcom/fsck/k9/activity/FolderList; onPause
10715925 + Lcom/fsck/k9/activity/MessageList; onCreate
10715927 + Lcom/fsck/k9/K9Activity; onCreate
10715929 - Lcom/fsck/k9/K9Activity; onCreate
10715981 - Lcom/fsck/k9/activity/MessageList; onCreate
10715981 + Lcom/fsck/k9/activity/MessageList; onResume
10715987 + Lcom/fsck/k9/K9Activity; onResume
10715989 - Lcom/fsck/k9/K9Activity; onResume
10716156 - Lcom/fsck/k9/activity/MessageList; onResume
10717165 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@44160fc0
10717206 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
10718431 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
10718434 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
10720070 + Lcom/fsck/k9/service/MailService; onCreate
10720070 - Lcom/fsck/k9/service/MailService; onCreate
10720100 + Lcom/fsck/k9/service/MailService; onDestroy
10720100 - Lcom/fsck/k9/service/MailService; onDestroy
10721001 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Date
10721013 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
10725258 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
10725259 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
10727981 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Subject
10728004 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
10731958 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
10731986 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
10732021 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10732022 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10732022 + Lcom/fsck/k9/activity/MessageList; onPause
10732023 - Lcom/fsck/k9/activity/MessageList; onPause
10732035 + Lcom/fsck/k9/activity/MessageCompose; onCreate
10732036 + Lcom/fsck/k9/K9Activity; onCreate
10732038 - Lcom/fsck/k9/K9Activity; onCreate
10732117 - Lcom/fsck/k9/activity/MessageCompose; onCreate
10732118 + Lcom/fsck/k9/activity/MessageCompose; onResume
10732118 + Lcom/fsck/k9/K9Activity; onResume
10732122 - Lcom/fsck/k9/K9Activity; onResume
10732123 - Lcom/fsck/k9/activity/MessageCompose; onResume
10735224 + Lcom/fsck/k9/activity/MessageCompose; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@44277650
10735236 - Lcom/fsck/k9/activity/MessageCompose; onCreateOptionsMenu
10738312 + Lcom/fsck/k9/activity/MessageCompose; onPause
10738314 - Lcom/fsck/k9/activity/MessageCompose; onPause
10738334 + Lcom/fsck/k9/activity/MessageList; onResume
10738336 + Lcom/fsck/k9/K9Activity; onResume
10738345 - Lcom/fsck/k9/K9Activity; onResume
10738452 - Lcom/fsck/k9/activity/MessageList; onResume
10743068 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
10743100 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
10743101 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10743103 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10743103 + Lcom/fsck/k9/activity/MessageList; onPause
10743104 - Lcom/fsck/k9/activity/MessageList; onPause
10743123 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
10743123 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
10743129 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
10743322 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
10743323 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
10743327 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
10766071 + Lcom/fsck/k9/service/MailService; onCreate
10766072 - Lcom/fsck/k9/service/MailService; onCreate
10766102 + Lcom/fsck/k9/activity/MessageList; onResume
10766102 + Lcom/fsck/k9/K9Activity; onResume
10766104 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
10766366 - Lcom/fsck/k9/activity/MessageList; onResume
10766441 + Lcom/fsck/k9/service/MailService; onDestroy
10766442 - Lcom/fsck/k9/service/MailService; onDestroy
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
10766890 + Lcom/fsck/k9/activity/MessageList; onPause
10766903 - Lcom/fsck/k9/activity/MessageList; onPause
10766950 + Lcom/fsck/k9/activity/FolderList; onResume
10766950 + Lcom/fsck/k9/K9ListActivity; onResume
10766953 - Lcom/fsck/k9/K9ListActivity; onResume
10767094 - Lcom/fsck/k9/activity/FolderList; onResume
10768906 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@440081d8
10769022 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
10769023 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
10769024 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
10769027 + Lcom/fsck/k9/activity/FolderList; onPause
10769028 - Lcom/fsck/k9/activity/FolderList; onPause
10769127 + Lcom/fsck/k9/activity/MessageList; onCreate
10769128 + Lcom/fsck/k9/K9Activity; onCreate
10769129 - Lcom/fsck/k9/K9Activity; onCreate
10769154 - Lcom/fsck/k9/activity/MessageList; onCreate
10769155 + Lcom/fsck/k9/activity/MessageList; onResume
10769155 + Lcom/fsck/k9/K9Activity; onResume
10769157 - Lcom/fsck/k9/K9Activity; onResume
10769227 - Lcom/fsck/k9/activity/MessageList; onResume
10770016 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@44197cd0
10770024 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
10776854 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
10776901 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
10776956 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10776957 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10776958 + Lcom/fsck/k9/activity/MessageList; onPause
10776958 - Lcom/fsck/k9/activity/MessageList; onPause
10776985 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
10776991 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
10776996 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
10777281 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
10777281 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
10777292 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
10781096 + Lcom/fsck/k9/service/MailService; onCreate
10781096 - Lcom/fsck/k9/service/MailService; onCreate
10781117 + Lcom/fsck/k9/activity/MessageList; onResume
10781119 + Lcom/fsck/k9/K9Activity; onResume
10781122 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
10781659 - Lcom/fsck/k9/activity/MessageList; onResume
10781966 + Lcom/fsck/k9/service/MailService; onDestroy
10781966 - Lcom/fsck/k9/service/MailService; onDestroy
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
10784608 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@43fe9b90
10784648 - Lcom/fsck/k9/activity/MessageList; onItemClick
10784649 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10784650 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10784651 + Lcom/fsck/k9/activity/MessageList; onPause
10784651 - Lcom/fsck/k9/activity/MessageList; onPause
10784665 + Lcom/fsck/k9/activity/MessageView; onCreate
10784666 + Lcom/fsck/k9/K9Activity; onCreate
10784668 - Lcom/fsck/k9/K9Activity; onCreate
10784741 - Lcom/fsck/k9/activity/MessageView; onCreate
10784742 + Lcom/fsck/k9/activity/MessageView; onResume
10784742 + Lcom/fsck/k9/K9Activity; onResume
10784744 - Lcom/fsck/k9/K9Activity; onResume
10784744 - Lcom/fsck/k9/activity/MessageView; onResume
10786200 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@443222c0
10786206 - Lcom/fsck/k9/activity/MessageView; onClick
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
