

43223 + Lcom/fsck/k9/provider/AttachmentProvider; onCreate
183757 - Lcom/fsck/k9/activity/MessageList$1; onTouch
183770 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
183776 - Lcom/fsck/k9/activity/MessageList$1; onTouch
183818 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
183826 - Lcom/fsck/k9/activity/MessageList$1; onTouch
183842 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
183846 - Lcom/fsck/k9/activity/MessageList$1; onTouch
183867 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
183868 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184038 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184040 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184105 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184106 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184134 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184134 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184155 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184155 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184169 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184171 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184584 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184585 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184609 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184611 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184641 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184642 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184656 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184657 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184680 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184680 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184706 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184707 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184736 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184736 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184765 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184766 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184807 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184811 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184831 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184831 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184857 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184857 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184875 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184876 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184903 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184904 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184930 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184931 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184958 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184959 - Lcom/fsck/k9/activity/MessageList$1; onTouch
184987 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
184988 - Lcom/fsck/k9/activity/MessageList$1; onTouch
185015 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
185016 - Lcom/fsck/k9/activity/MessageList$1; onTouch
185047 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
185048 - Lcom/fsck/k9/activity/MessageList$1; onTouch
185088 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
185093 - Lcom/fsck/k9/activity/MessageList$1; onTouch
185113 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
185113 - Lcom/fsck/k9/activity/MessageList$1; onTouch
185128 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
185129 - Lcom/fsck/k9/activity/MessageList$1; onTouch
185156 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
185156 - Lcom/fsck/k9/activity/MessageList$1; onTouch
185183 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
185183 - Lcom/fsck/k9/activity/MessageList$1; onTouch
185211 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
185211 - Lcom/fsck/k9/activity/MessageList$1; onTouch
185240 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
185241 - Lcom/fsck/k9/activity/MessageList$1; onTouch
185268 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
185268 - Lcom/fsck/k9/activity/MessageList$1; onTouch
185310 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
185313 - Lcom/fsck/k9/activity/MessageList$1; onTouch
185333 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
185338 - Lcom/fsck/k9/activity/MessageList$1; onTouch
186084 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
186086 - Lcom/fsck/k9/activity/MessageList$1; onTouch
186096 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
186102 - Lcom/fsck/k9/activity/MessageList$1; onTouch
186146 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
186146 - Lcom/fsck/k9/activity/MessageList$1; onTouch
186158 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
186158 - Lcom/fsck/k9/activity/MessageList$1; onTouch
186185 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
186186 - Lcom/fsck/k9/activity/MessageList$1; onTouch
186195 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
186195 - Lcom/fsck/k9/activity/MessageList$1; onTouch
186359 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@461b5680
186376 - Lcom/fsck/k9/activity/MessageList; onItemClick
186379 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
186385 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
186389 + Lcom/fsck/k9/activity/MessageList; onPause
186390 - Lcom/fsck/k9/activity/MessageList; onPause
186464 + Lcom/fsck/k9/activity/MessageView; onCreate
186465 + Lcom/fsck/k9/K9Activity; onCreate
186467 - Lcom/fsck/k9/K9Activity; onCreate
186642 - Lcom/fsck/k9/activity/MessageView; onCreate
186642 + Lcom/fsck/k9/activity/MessageView; onResume
186643 + Lcom/fsck/k9/K9Activity; onResume
186644 - Lcom/fsck/k9/K9Activity; onResume
186647 - Lcom/fsck/k9/activity/MessageView; onResume
188492 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@462e80d0
188495 - Lcom/fsck/k9/activity/MessageView; onClick
192716 + Lcom/fsck/k9/activity/MessageList; onResume
192716 + Lcom/fsck/k9/K9Activity; onResume
192718 - Lcom/fsck/k9/K9Activity; onResume
192828 - Lcom/fsck/k9/activity/MessageList; onResume
194491 + Lcom/fsck/k9/activity/MessageList; onPause
194493 - Lcom/fsck/k9/activity/MessageList; onPause
194516 + Lcom/fsck/k9/activity/FolderList; onResume
194519 + Lcom/fsck/k9/K9ListActivity; onResume
194525 - Lcom/fsck/k9/K9ListActivity; onResume
194538 - Lcom/fsck/k9/activity/FolderList; onResume
199224 + Lcom/fsck/k9/activity/FolderList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@4629e0e0
199246 - Lcom/fsck/k9/activity/FolderList; onCreateOptionsMenu
200675 + Lcom/fsck/k9/activity/FolderList; onOptionsItemSelected Accounts
200677 - Lcom/fsck/k9/activity/FolderList; onOptionsItemSelected
200680 + Lcom/fsck/k9/activity/FolderList; onPause
200681 - Lcom/fsck/k9/activity/FolderList; onPause
200693 + Lcom/fsck/k9/activity/Accounts; onResume
200693 + Lcom/fsck/k9/K9ListActivity; onResume
200695 - Lcom/fsck/k9/K9ListActivity; onResume
200711 - Lcom/fsck/k9/activity/Accounts; onResume
205330 + Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
205333 - Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
205350 + Lcom/fsck/k9/activity/Accounts; onPause
205356 - Lcom/fsck/k9/activity/Accounts; onPause
222919 + Lcom/fsck/k9/activity/Accounts; onResume
222920 + Lcom/fsck/k9/K9ListActivity; onResume
222923 - Lcom/fsck/k9/K9ListActivity; onResume
222942 - Lcom/fsck/k9/activity/Accounts; onResume
224907 + Lcom/fsck/k9/activity/Accounts; onItemClick android.widget.ListView@4617fa18
224958 - Lcom/fsck/k9/activity/Accounts; onItemClick
224958 + Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
224959 - Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
224960 + Lcom/fsck/k9/activity/Accounts; onPause
224961 - Lcom/fsck/k9/activity/Accounts; onPause
224968 + Lcom/fsck/k9/activity/MessageList; onCreate
224968 + Lcom/fsck/k9/K9Activity; onCreate
224973 - Lcom/fsck/k9/K9Activity; onCreate
225000 - Lcom/fsck/k9/activity/MessageList; onCreate
225000 + Lcom/fsck/k9/activity/MessageList; onResume
225001 + Lcom/fsck/k9/K9Activity; onResume
225005 - Lcom/fsck/k9/K9Activity; onResume
225116 - Lcom/fsck/k9/activity/MessageList; onResume
226732 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
226734 - Lcom/fsck/k9/activity/MessageList$1; onTouch
226745 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
226747 - Lcom/fsck/k9/activity/MessageList$1; onTouch
226772 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
226776 - Lcom/fsck/k9/activity/MessageList$1; onTouch
226823 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
226825 - Lcom/fsck/k9/activity/MessageList$1; onTouch
226840 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
226846 - Lcom/fsck/k9/activity/MessageList$1; onTouch
227002 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@462b26c0
227054 - Lcom/fsck/k9/activity/MessageList; onItemClick
227056 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
227057 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
227058 + Lcom/fsck/k9/activity/MessageList; onPause
227060 - Lcom/fsck/k9/activity/MessageList; onPause
227123 + Lcom/fsck/k9/activity/MessageView; onCreate
227124 + Lcom/fsck/k9/K9Activity; onCreate
227128 - Lcom/fsck/k9/K9Activity; onCreate
227189 - Lcom/fsck/k9/activity/MessageView; onCreate
227190 + Lcom/fsck/k9/activity/MessageView; onResume
227190 + Lcom/fsck/k9/K9Activity; onResume
227195 - Lcom/fsck/k9/K9Activity; onResume
227199 - Lcom/fsck/k9/activity/MessageView; onResume
229519 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@462ecef0
229527 - Lcom/fsck/k9/activity/MessageView; onClick
233191 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@462ec900
233200 - Lcom/fsck/k9/activity/MessageView; onClick
239921 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@462ec900
239926 - Lcom/fsck/k9/activity/MessageView; onClick
242114 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@462ecef0
242120 - Lcom/fsck/k9/activity/MessageView; onClick
249042 + Lcom/fsck/k9/activity/MessageList; onResume
249043 + Lcom/fsck/k9/K9Activity; onResume
249058 - Lcom/fsck/k9/K9Activity; onResume
249126 - Lcom/fsck/k9/activity/MessageList; onResume
251768 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
251770 - Lcom/fsck/k9/activity/MessageList$1; onTouch
251780 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
251782 - Lcom/fsck/k9/activity/MessageList$1; onTouch
251813 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
251819 - Lcom/fsck/k9/activity/MessageList$1; onTouch
251833 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
251833 - Lcom/fsck/k9/activity/MessageList$1; onTouch
251861 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
251861 - Lcom/fsck/k9/activity/MessageList$1; onTouch
251872 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
251873 - Lcom/fsck/k9/activity/MessageList$1; onTouch
252010 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@462b26c0
252070 - Lcom/fsck/k9/activity/MessageList; onItemClick
252071 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
252071 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
252072 + Lcom/fsck/k9/activity/MessageList; onPause
252076 - Lcom/fsck/k9/activity/MessageList; onPause
252107 + Lcom/fsck/k9/activity/MessageView; onCreate
252107 + Lcom/fsck/k9/K9Activity; onCreate
252110 - Lcom/fsck/k9/K9Activity; onCreate
252159 - Lcom/fsck/k9/activity/MessageView; onCreate
252159 + Lcom/fsck/k9/activity/MessageView; onResume
252160 + Lcom/fsck/k9/K9Activity; onResume
252161 - Lcom/fsck/k9/K9Activity; onResume
252162 - Lcom/fsck/k9/activity/MessageView; onResume
259244 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@4631c870
259252 - Lcom/fsck/k9/activity/MessageView; onClick
262619 + Lcom/fsck/k9/activity/MessageList; onResume
262621 + Lcom/fsck/k9/K9Activity; onResume
262626 - Lcom/fsck/k9/K9Activity; onResume
262699 - Lcom/fsck/k9/activity/MessageList; onResume
270339 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270345 - Lcom/fsck/k9/activity/MessageList$1; onTouch
270353 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270356 - Lcom/fsck/k9/activity/MessageList$1; onTouch
270388 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270393 - Lcom/fsck/k9/activity/MessageList$1; onTouch
270439 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270440 - Lcom/fsck/k9/activity/MessageList$1; onTouch
270455 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270456 - Lcom/fsck/k9/activity/MessageList$1; onTouch
270530 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270532 - Lcom/fsck/k9/activity/MessageList$1; onTouch
270551 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270551 - Lcom/fsck/k9/activity/MessageList$1; onTouch
270576 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270577 - Lcom/fsck/k9/activity/MessageList$1; onTouch
270595 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270596 - Lcom/fsck/k9/activity/MessageList$1; onTouch
270622 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270622 - Lcom/fsck/k9/activity/MessageList$1; onTouch
270655 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270655 - Lcom/fsck/k9/activity/MessageList$1; onTouch
270677 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270678 - Lcom/fsck/k9/activity/MessageList$1; onTouch
270706 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270707 - Lcom/fsck/k9/activity/MessageList$1; onTouch
270736 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270737 - Lcom/fsck/k9/activity/MessageList$1; onTouch
270766 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270767 - Lcom/fsck/k9/activity/MessageList$1; onTouch
270810 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270810 - Lcom/fsck/k9/activity/MessageList$1; onTouch
270838 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270839 - Lcom/fsck/k9/activity/MessageList$1; onTouch
270861 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270862 - Lcom/fsck/k9/activity/MessageList$1; onTouch
270881 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270882 - Lcom/fsck/k9/activity/MessageList$1; onTouch
270904 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270907 - Lcom/fsck/k9/activity/MessageList$1; onTouch
270910 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
270915 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271259 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271263 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271271 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271271 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271338 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271339 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271364 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271364 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271386 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271389 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271419 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271420 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271440 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271440 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271457 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271457 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271489 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271490 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271513 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271514 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271541 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271542 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271572 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271572 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271599 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271599 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271627 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271629 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271655 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271656 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271682 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271683 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271713 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271715 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271740 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271741 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271782 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271782 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271822 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271823 - Lcom/fsck/k9/activity/MessageList$1; onTouch
271824 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
271824 - Lcom/fsck/k9/activity/MessageList$1; onTouch
272392 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
272392 - Lcom/fsck/k9/activity/MessageList$1; onTouch
272427 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
272428 - Lcom/fsck/k9/activity/MessageList$1; onTouch
272439 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
272440 - Lcom/fsck/k9/activity/MessageList$1; onTouch
272468 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
272469 - Lcom/fsck/k9/activity/MessageList$1; onTouch
272497 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
272498 - Lcom/fsck/k9/activity/MessageList$1; onTouch
272541 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
272544 - Lcom/fsck/k9/activity/MessageList$1; onTouch
272579 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
